sale_date,product_id,total_sales
2025-08-19,24447,1998.0
2024-12-24,23546,999.0
2025-07-14,23546,999.0
2024-08-09,23546,999.0
2022-10-16,23546,999.0
2025-05-05,24447,999.0
2023-02-15,23546,999.0
2025-06-20,24447,999.0
2023-09-30,24447,999.0
2023-04-22,24447,999.0
2022-11-13,23546,999.0
2025-07-04,24447,999.0
2025-06-05,24447,999.0
2025-06-16,23546,999.0
2023-07-01,24447,999.0
2023-08-30,23546,999.0
2023-09-19,24447,999.0
2025-08-21,24447,999.0
2024-08-20,24447,999.0
2025-08-21,23546,999.0
2024-09-12,24447,999.0
2025-06-26,23546,999.0
2025-01-21,24447,999.0
2025-03-09,23546,999.0
2025-04-04,24110,990.0
2025-07-22,24110,990.0
2023-02-21,24110,990.0
2023-12-21,24341,950.0
2025-07-31,24341,950.0
2024-10-12,24341,950.0
2025-08-10,24341,950.0
2019-07-22,24341,950.0
2019-09-18,24341,950.0
2024-06-20,24341,950.0
2025-08-08,24341,950.0
2022-09-27,24341,950.0
2024-08-01,2723,903.0
2025-08-14,22927,903.0
2025-04-02,23951,903.0
2024-08-23,24201,903.0
2023-04-19,10453,903.0
2023-12-05,18656,903.0
2021-06-19,8398,903.0
2025-07-23,22927,903.0
2020-01-22,2796,903.0
2023-04-14,17094,903.0
2023-12-05,23648,903.0
2025-08-16,23654,903.0
2025-02-10,24899,903.0
2025-08-01,23648,903.0
2024-11-15,10453,903.0
2020-05-29,25348,903.0
2024-05-22,18656,903.0
2025-03-31,8398,903.0
2025-07-21,2559,903.0
2024-04-03,24428,903.0
2024-10-01,18062,903.0
2024-03-28,24428,903.0
2024-04-22,22927,903.0
2020-02-19,25348,903.0
2023-09-11,2796,903.0
2021-04-28,17094,903.0
2025-07-24,24899,903.0
2024-06-06,22927,903.0
2025-06-02,23648,903.0
2025-04-08,22927,903.0
2025-04-17,23648,903.0
2025-06-15,2796,903.0
2024-07-21,23654,903.0
2025-06-10,2723,903.0
2025-08-24,23989,903.0
2024-11-30,23654,903.0
2022-05-26,25348,903.0
2024-12-13,10453,903.0
2024-12-16,23989,903.0
2024-11-16,10453,903.0
2021-01-14,10453,903.0
2020-10-30,24283,903.0
2025-07-06,25348,903.0
2023-06-07,15486,903.0
2023-11-09,2793,903.0
2025-08-22,17094,903.0
2024-02-03,15486,903.0
2024-11-25,17094,903.0
2024-10-22,23648,903.0
2022-07-07,23989,903.0
2024-09-25,23989,903.0
2019-06-20,2723,903.0
2024-11-06,2559,903.0
2025-07-04,23951,903.0
2023-06-06,23648,903.0
